ip_address,timestamp,user_agent,endpoint,method,parameters,status_code,response_time_ms
124.109.123.110,2025-08-26 01:12:55,curl/7.64.1,/api/products,POST,"{""name"": ""Erin Wright"", ""value"": ""deal""}",204,62
46.57.135.151,2025-08-07 21:59:34,PostmanRuntime/7.28.0,/api/auth/logout,PUT,"{""id"": 293, ""update_field"": ""himself""}",400,370
160.179.81.207,2025-08-10 04:10:38,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",/api/shipping,PATCH,"{""id"": 144, ""update_field"": ""doctor""}",400,15
198.93.11.168,2025-08-20 22:46:12,curl/7.64.1,/api/auth/register,PATCH,"{""id"": 265, ""update_field"": ""officer""}",201,16
7.19.93.199,2025-08-08 18:19:50,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",/api/auth/login,DELETE,"{""id"": 97, ""update_field"": ""increase""}",400,157
4.160.25.35,2025-07-29 23:26:36,"Mozilla/5.0 (iPad; CPU OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0 Mobile/15E148 Safari/604.1",/api/users,GET,"{""page"": 5, ""limit"": 100}",200,59
27.139.4.239,2025-08-08 16:13:55,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0 Mobile/15E148 Safari/604.1",/api/search,POST,"{""name"": ""Michael Osborne"", ""value"": ""cut""}",200,43
28.107.103.31,2025-08-25 23:54:23,python-requests/2.25.1,/api/products,PUT,"{""id"": 788, ""update_field"": ""position""}",204,36
39.149.37.231,2025-08-21 18:14:56,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",/api/payments,GET,"{""id"": 504}",200,431
194.24.213.231,2025-08-15 23:52:23,PostmanRuntime/7.28.0,/api/users,PUT,"{""id"": 575, ""update_field"": ""born""}",200,155
9.220.35.35,2025-08-07 19:18:23,python-requests/2.25.1,/api/search,PUT,"{""id"": 570, ""update_field"": ""economy""}",200,84
180.196.191.22,2025-08-05 18:11:08,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0 Mobile/15E148 Safari/604.1",/api/users,POST,"{""name"": ""Julie Jensen"", ""value"": ""cost""}",204,102
87.53.175.241,2025-08-28 17:20:59,"Mozilla/5.0 (iPad; CPU OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0 Mobile/15E148 Safari/604.1",/api/auth/logout,PATCH,"{""id"": 306, ""update_field"": ""then""}",200,10
93.95.103.93,2025-08-20 20:29:00,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0,/api/auth/logout,POST,"{""name"": ""William Rodriguez"", ""value"": ""hot""}",400,14
89.43.204.114,2025-08-20 07:47:11,"Mozilla/5.0 (Linux; Android 11; SM-G991B) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.120 Mobile Safari/537.36",/api/categories,GET,"{""id"": 367}",200,302
136.68.128.166,2025-08-07 14:33:06,"Mozilla/5.0 (Linux; Android 11; SM-G991B) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.120 Mobile Safari/537.36",/api/auth/register,PUT,"{""id"": 526, ""update_field"": ""might""}",200,110
106.226.2.235,2025-08-16 20:44:18,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",/api/categories,GET,"{""id"": 465}",200,47
43.206.141.71,2025-08-01 11:58:08,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0 Mobile/15E148 Safari/604.1",/api/shipping,GET,"{""id"": 322}",200,17
114.85.133.116,2025-08-28 08:17:12,"Mozilla/5.0 (Linux; Android 11; SM-G991B) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.120 Mobile Safari/537.36",/api/payments,PATCH,"{""id"": 971, ""update_field"": ""project""}",200,101
